2020-02-08 22:29:54,243 |    pack.madgraph.run |   INFO | starting file logging for topic: run
2020-02-08 22:29:55,070 |    pack.madgraph.run |   INFO | b'************************************************************'
2020-02-08 22:29:55,070 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,071 |    pack.madgraph.run |   INFO | b'*                     W E L C O M E to                     *'
2020-02-08 22:29:55,071 |    pack.madgraph.run |   INFO | b'*              M A D G R A P H 5 _ a M C @ N L O           *'
2020-02-08 22:29:55,071 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,071 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,071 |    pack.madgraph.run |   INFO | b'*                 *                       *                *'
2020-02-08 22:29:55,072 |    pack.madgraph.run |   INFO | b'*                   *        * *        *                  *'
2020-02-08 22:29:55,072 |    pack.madgraph.run |   INFO | b'*                     * * * * 5 * * * *                    *'
2020-02-08 22:29:55,072 |    pack.madgraph.run |   INFO | b'*                   *        * *        *                  *'
2020-02-08 22:29:55,072 |    pack.madgraph.run |   INFO | b'*                 *                       *                *'
2020-02-08 22:29:55,072 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,073 |    pack.madgraph.run |   INFO | b'*         VERSION 2.6.7                 2019-10-16         *'
2020-02-08 22:29:55,073 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,073 |    pack.madgraph.run |   INFO | b'*    The MadGraph5_aMC@NLO Development Team - Find us at   *'
2020-02-08 22:29:55,073 |    pack.madgraph.run |   INFO | b'*    https://server06.fynu.ucl.ac.be/projects/madgraph     *'
2020-02-08 22:29:55,073 |    pack.madgraph.run |   INFO | b'*                            and                           *'
2020-02-08 22:29:55,074 |    pack.madgraph.run |   INFO | b'*            http://amcatnlo.web.cern.ch/amcatnlo/         *'
2020-02-08 22:29:55,074 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,074 |    pack.madgraph.run |   INFO | b"*               Type 'help' for in-line help.              *"
2020-02-08 22:29:55,074 |    pack.madgraph.run |   INFO | b"*           Type 'tutorial' to learn how MG5 works         *"
2020-02-08 22:29:55,074 |    pack.madgraph.run |   INFO | b"*    Type 'tutorial aMCatNLO' to learn how aMC@NLO works   *"
2020-02-08 22:29:55,075 |    pack.madgraph.run |   INFO | b"*    Type 'tutorial MadLoop' to learn how MadLoop works    *"
2020-02-08 22:29:55,075 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-08 22:29:55,075 |    pack.madgraph.run |   INFO | b'************************************************************'
2020-02-08 22:29:55,075 |    pack.madgraph.run |   INFO | b'load MG5 configuration from madgraph/input/mg5_configuration.txt'
2020-02-08 22:29:55,076 |    pack.madgraph.run |   INFO | b'set collier to /code/madgraph/HEPTools/collier'
2020-02-08 22:29:55,076 |    pack.madgraph.run |   INFO | b'fastjet-config does not seem to correspond to a valid fastjet-config executable (v3+). We will use fjcore instead.'
2020-02-08 22:29:55,076 |    pack.madgraph.run |   INFO | b"Please set the 'fastjet'variable to the full (absolute) /PATH/TO/fastjet-config (including fastjet-config)."
2020-02-08 22:29:55,076 |    pack.madgraph.run |   INFO | b'MG5_aMC> set fastjet /PATH/TO/fastjet-config'
2020-02-08 22:29:55,076 |    pack.madgraph.run |   INFO | b''
2020-02-08 22:29:55,082 |    pack.madgraph.run |   INFO | b'lhapdf-config does not seem to correspond to a valid lhapdf-config executable.'
2020-02-08 22:29:55,082 |    pack.madgraph.run |   INFO | b"Please set the 'lhapdf' variable to the (absolute) /PATH/TO/lhapdf-config (including lhapdf-config)."
2020-02-08 22:29:55,083 |    pack.madgraph.run |   INFO | b'Note that you can still compile and run aMC@NLO with the built-in PDFs'
2020-02-08 22:29:55,083 |    pack.madgraph.run |   INFO | b'MG5_aMC> set lhapdf /PATH/TO/lhapdf-config'
2020-02-08 22:29:55,083 |    pack.madgraph.run |   INFO | b''
2020-02-08 22:29:55,083 |    pack.madgraph.run |   INFO | b'set ninja to /code/madgraph/HEPTools/lib'
2020-02-08 22:29:55,084 |    pack.madgraph.run |   INFO | b'No valid text editor found. Please set in ./input/mg5_configuration.txt'
2020-02-08 22:29:55,084 |    pack.madgraph.run |   INFO | b'No valid eps viewer found. Please set in ./input/mg5_configuration.txt'
2020-02-08 22:29:55,084 |    pack.madgraph.run |   INFO | b'No valid web browser found. Please set in ./input/mg5_configuration.txt'
2020-02-08 22:29:55,085 |    pack.madgraph.run |   INFO | b'import /code/proc_card.dat'
2020-02-08 22:29:55,085 |    pack.madgraph.run |   INFO | b'The import format was not given, so we guess it as command'
2020-02-08 22:29:55,085 |    pack.madgraph.run |   INFO | b'import model sm'
2020-02-08 22:29:55,106 |    pack.madgraph.run |   INFO | b'INFO: load particles'
2020-02-08 22:29:55,107 |    pack.madgraph.run |   INFO | b'INFO: load vertices'
2020-02-08 22:29:55,127 |    pack.madgraph.run |   INFO | b'INFO: Restrict model sm with file madgraph/models/sm/restrict_default.dat .'
